id,兩難,主題
90,小明和他的朋友約好在週末一起去參加一個學校舉辦的志願活動，並承諾會一起負責活動的清潔工作。然而，到了週末，小明突然接到了一個消息，他最喜歡的偶像會在同一天舉行一場簽名會，這是他一直期待的機會。如果他選擇去簽名會，就會違背對朋友的承諾；如果他選擇參加志願活動，則可能失去與偶像見面的機會。你會怎麼做？,承諾、友誼、個人興趣、責任感。
91,你和好朋友約好週末一起去參加一個重要的音樂會，因為你們都很喜歡這位偶像。然而，前一天你得知班上的一個重要考試因故提前舉行，這次考試影響到你的學期成績，你必須在週末花時間準備。你已經向好朋友承諾會一起去音樂會，但現在卻面臨學業和友誼的衝突。你會怎麼做？,承諾、學業、友誼。
92,小美和朋友約好一起參加學校的清潔活動，並承諾會在活動中負責清理教室。然而，當天她接到了偶像的簽名會邀請，這是她一直期待的機會，並且這個活動的時間和清潔活動重疊。如果她參加簽名會，會違背對朋友的承諾；如果她選擇參加清潔活動，你可能會錯過這個難得的機會。按照小美的角度，你會怎麼做？,承諾、責任、抉擇。
93,你和你的組員約好這個週末一起參加一個重要的音樂比賽，因為你們都非常期待能在舞台上表現。但就在比賽前一天，你的最愛偶像宣佈將在當日舉行一場簽名會，這是你一直夢想的機會。你知道如果不去簽名會，你的組員會很失望，但這次機會對你來說太重要了。你會怎麼做？,承諾、友情、夢想、選擇。
94,你和朋友約好這個周末一起去參加一個重要的音樂會，因為你們都很喜歡那位偶像。然而，到了周五，你的家長告訴你，這個周末有一個學校的清潔活動，並要求你參加。如果你不參加，將會讓家長失望。你會選擇遵守原本的約定，陪朋友去音樂會，還是參加清潔活動？,承諾、責任、選擇。
95,小麗和她的同學約好星期日一起參加社區的義工服務，清理沙灘的垃圾。可是，臨近活動時，她的偶像宣布會在當日舉辦粉絲見面會，這是她一直夢想參加的活動。面對重要的承諾和難得的見面會，她感到非常矛盾。在這個情况下，你會選擇怎麼做？,承諾、責任、選擇。
96,在班上，你和幾位同學約好要一起參加一個社區服務活動，並且你們都承諾要準時到場。然而，臨近活動的那一天，你突然收到一個消息，你最喜歡的偶像將會在同一天舉行一場簽名會，這是你一直期待的機會。如果你參加簽名會，就無法履行對同學的承諾。你會怎麼做？,承諾、友情、興趣、責任。
97,你和朋友約好在週末一起去參加一個音樂會，這是你們期待已久的活動。然而，當你回家後，發現自己還有一項重要的學校報告需要在週一之前完成，且時間非常緊迫。如果你不去音樂會，就會失去與朋友共度美好時光的機會；但如果不完成報告，你的學業成績可能會受到影響。你會怎麼做？,承諾、友情、學業、責任。
98,你和朋友約好一起參加學校的社團活動，並承諾會一起負責佈置會場。然而，前一天你收到了一個難得的機會，可以參加偶像的簽名會，這是你一直夢寐以求的事件，時間剛好在活動進行的同時。你在朋友和偶像之間必須做出選擇。你會怎麼做？,承諾、選擇、友情、夢想。
99,你和朋友約定在周末一起參加一個義工服務，協助清理當地公園，這是你們一個月來第一次的團體活動。然而，當天你最喜歡的偶像突然宣布在同一天舉行一場簽名會，你非常想去見他，但這意味著你會違背對朋友的承諾。你會選擇怎麼做？,承諾、友情、選擇、責任。
100,你和朋友約好這個星期六一起參加義工服務，並且你們都很期待能一起貢獻社會。然而，前一天你得知你最喜歡的偶像將會在同一天舉辦簽名會，這是你一直夢寐以求的機會。你很想參加簽名會，但同時也不想失信於朋友和活動的組織者。你會怎麼做？,承諾、友情、責任、夢想。
